model,AUC,Gini,KS,AP,Brier
Logistic Regression,0.8287082617222826,0.6574165234445652,0.5031253833230147,0.32795262517223217,0.12354877186924353
Random Forest,0.8545554589295283,0.7091109178590567,0.5507072266020173,0.34471008950798376,0.07706984578104364
XGBoost,0.8463783931946899,0.6927567863893798,0.5368400670256076,0.35252912490618354,0.21420593559741974
